"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 17, 2018","2.220","2.280","2.280","2.220","2.82M","-2.63%"
"Dec 14, 2018","2.280","2.320","2.320","2.270","2.02M","-2.15%"
"Dec 13, 2018","2.330","2.340","2.340","2.310","2.50M","-0.43%"
"Dec 12, 2018","2.340","2.350","2.360","2.300","2.83M","0.43%"
"Dec 11, 2018","2.330","2.290","2.350","2.270","1.84M","2.19%"
"Dec 10, 2018","2.280","2.350","2.350","2.270","4.59M","-2.98%"
"Dec 07, 2018","2.350","2.360","2.400","2.320","4.45M","-1.26%"
"Dec 06, 2018","2.380","2.330","2.380","2.310","3.68M","2.15%"
"Dec 05, 2018","2.330","2.300","2.350","2.270","2.29M","0.00%"
"Dec 04, 2018","2.330","2.260","2.330","2.210","6.79M","3.10%"
"Dec 03, 2018","2.260","2.360","2.380","2.260","10.07M","-4.24%"
"Nov 30, 2018","2.360","2.390","2.400","2.330","5.11M","-0.84%"
"Nov 29, 2018","2.380","2.380","2.410","2.360","3.11M","0.85%"
"Nov 28, 2018","2.360","2.450","2.450","2.340","6.63M","-2.07%"
"Nov 27, 2018","2.410","2.470","2.470","2.390","7.45M","-1.23%"
"Nov 26, 2018","2.440","2.450","2.500","2.430","2.55M","-2.01%"
"Nov 23, 2018","2.490","2.470","2.490","2.430","941.30K","1.22%"
"Nov 22, 2018","2.460","2.530","2.530","2.450","1.07M","-3.15%"
"Nov 21, 2018","2.540","2.420","2.560","2.400","10.14M","2.42%"
"Nov 19, 2018","2.480","2.430","2.480","2.390","6.80M","2.06%"
"Nov 16, 2018","2.430","2.450","2.450","2.390","2.33M","0.00%"
"Nov 15, 2018","2.430","2.360","2.430","2.360","4.00M","2.53%"
"Nov 14, 2018","2.370","2.370","2.380","2.340","3.18M","0.42%"
"Nov 13, 2018","2.360","2.380","2.400","2.360","4.12M","-1.67%"
"Nov 12, 2018","2.400","2.400","2.430","2.380","1.97M","0.00%"
"Nov 09, 2018","2.400","2.430","2.430","2.370","2.07M","-1.23%"
"Nov 08, 2018","2.430","2.420","2.450","2.400","7.74M","0.83%"
"Nov 07, 2018","2.410","2.420","2.470","2.380","6.30M","-0.41%"
"Nov 05, 2018","2.420","2.430","2.430","2.360","9.86M","0.00%"
"Nov 02, 2018","2.420","2.410","2.470","2.380","17.50M","0.83%"
"Nov 01, 2018","2.400","2.390","2.420","2.350","8.09M","0.42%"
"Oct 31, 2018","2.390","2.350","2.390","2.340","9.20M","3.02%"
"Oct 30, 2018","2.320","2.340","2.410","2.300","12.57M","-1.28%"
"Oct 29, 2018","2.350","2.520","2.530","2.350","35.15M","-4.86%"
"Oct 26, 2018","2.470","2.330","2.580","2.300","64.40M","6.47%"
"Oct 25, 2018","2.320","2.320","2.330","2.270","7.06M","-1.28%"
"Oct 24, 2018","2.350","2.350","2.390","2.350","6.19M","-1.26%"
"Oct 23, 2018","2.380","2.360","2.450","2.340","15.01M","1.28%"
"Oct 22, 2018","2.350","2.400","2.400","2.310","8.59M","-1.67%"
"Oct 19, 2018","2.390","2.400","2.420","2.360","16.26M","-1.24%"
"Oct 18, 2018","2.420","2.400","2.440","2.320","16.80M","0.00%"
"Oct 17, 2018","2.420","2.450","2.470","2.410","12.32M","-0.41%"
"Oct 16, 2018","2.430","2.450","2.450","2.410","13.67M","0.41%"
"Oct 15, 2018","2.420","2.380","2.460","2.330","42.43M","2.98%"
"Oct 12, 2018","2.350","2.350","2.410","2.320","54.72M","2.17%"
"Oct 11, 2018","2.300","2.000","2.390","2.000","105.06M","11.11%"
"Oct 10, 2018","2.070","2.430","2.480","2.030","153.21M","-13.03%"
"Oct 09, 2018","2.380","2.450","2.500","2.360","65.76M","-2.06%"
"Oct 08, 2018","2.430","2.500","2.630","2.320","92.70M","-24.30%"
"Oct 05, 2018","3.210","3.270","3.280","3.210","3.88M","-2.13%"
"Oct 04, 2018","3.280","3.350","3.350","3.260","6.82M","-1.50%"
"Oct 03, 2018","3.330","3.310","3.350","3.310","1.41M","0.00%"
"Oct 02, 2018","3.330","3.280","3.360","3.280","4.74M","1.52%"
"Oct 01, 2018","3.280","3.270","3.310","3.210","5.50M","-2.38%"
"Sep 28, 2018","3.360","3.240","3.380","3.230","7.07M","4.35%"
"Sep 27, 2018","3.220","3.110","3.260","3.100","15.80M","4.21%"
"Sep 26, 2018","3.090","3.110","3.190","3.070","10.77M","-0.32%"
"Sep 25, 2018","3.100","3.190","3.220","3.100","6.72M","-2.52%"
"Sep 24, 2018","3.180","3.320","3.320","3.180","7.46M","-3.64%"
